vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
JAC,X7,HATCHBACK,4x2,JAC HFC4GC1.6E,1499,120,AUTOMATICA,NAFTA,EURO V,875,4/6/2021,61JAA0276A,ATEEL ,216,114,78,91,91
LEXUS,IS300,SEDAN 4 PUERTAS,4x2,TOYOTA 8AR-FTS,1998,,MANUAL,NAFTA,EURO V,,17/04/2019,JSQ319928,VCA,189,114,63,82,82
CHANGAN,CS75,RURAL,4x2,CHANGAN JL486ZQ2,1798,,MANUAL,NAFTA,EURO V,,11/6/2018,CN16030389 EXTENSION 01,IDIADA,186,114,56,77,77
PEUGEOT / CITROEN,PARTNER / BERLINGO,FAMILIAR-FURGON,4x2,PSA EC5 (NFP),1587,,MANUAL,NAFTA,EURO V,,12/4/2018,0179/17,DELPHI,20558,1143,728,88,88
CHEVROLET,TRACKER 1.8,SEDAN 4 PUERTAS Y PORTÓN TRASERO,4x2,CHEVROLET 2H0 o A18XER o F18D4 (1.8 DOHC),1796,103,MANUAL,NAFTA,EURO V,525,12/11/2019,KR18060019,IDIADA,1906,1143,630,819,819
CHEVROLET,TRACKER 1.8,5 PUERTAS HB,4x2,CHEVROLET 2H0,4000,1796,MANUAL,NAFTA,EURO V,,,7/2/2017,KR18060019,150,1143,63,819,
RENAULT,CAPTUR 2.0 16v,SEDAN 5 PUERTAS,4x2,RENAULT F4R E4,1998,101,MANUAL,NAFTA,EURO V,,18/04/2016,R1-0598/15,DELPHI,140,1149,701,867,867
AUDI,Q7,SUV,4x4,AUDI DCBD / CONTINENTAL BSG-HP1-65,2995,250,AUTOMATICA,ELECTRICIDAD,EURO VI,624,5/3/2020,AUA5959B,ATE - EL,215,115,82,94,94
ZOTYE,T600C,SEDAN 4 PUERTAS Y PORTÓN TRASERO,4x2,RUIZHAN TNN4G15TA,1502,105,MANUAL,NAFTA,EURO V,,9/5/2019,CN17100423,IDIADA,202,115,64,83,83
CHEVROLET,COBALT 1.8 TRANSMISIÓN AUTOMATICA,SEDAN 4 PUERTAS,4x2,CHEVROLET A18XE / LJ1 (1.8 SOHC),1796,,MANUAL,NAFTA,EURO V,,18/01/2018,CPLE 076/2016 Rev.2,CAMPO DE PROVAS DA CRUZ ALTA,18639,1154,586,791,
CHEVROLET,COBALT 1.8 TRANSMISIÓN AUTOMATICA,SEDAN 4 PUERTAS,4x2,CHEVROLET A18XE / LJ1 (1.8 SOHC),1796,77.2,AUTOMATICA,NAFTA,EURO V,524,14/11/2019,CPLE 076/2016 Rev.2,GENERAL MOTORS DO BRASIL LTDA.,18639,1154,586,791,791
TOYOTA,LAND CRUISER 200,SUV,4x4,TOYOTA 1VD-FTV,4461,,AUTOMATICA,GAS OIL,EURO V,,4/10/2017,H1860666086/241,VINÇOTTE nv,2607,1156,894,99,99
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,130,1159,686,860,860
KIA,SPORTAGE,RURAL,4x4,HYUNDAI o KIA G4NA-5 o G4NA,1999,114,MANUAL,NAFTA,EURO V,,28/04/2016,83-V039-133042998-105,TÜV Rheinland,200,116,69,86,86
