Ticket ID;Open Time @Timezone;Resolved Time @Timezone
IM69222732;05/05/2019 12:11;
IM69222732;05/05/2019 12:11;
IM69222732;05/05/2019 12:11;
IM69222732;05/05/2019 12:11;
IM69222732;05/05/2019 12:11;
IM69222732;05/05/2019 12:11;
IM69222732;05/05/2019 12:11;
IM69378716;13/05/2019 14:21;
IM69378716;13/05/2019 14:21;
IM69378716;13/05/2019 14:21;
IM69379521;13/05/2019 15:33;
IM69379521;13/05/2019 15:33;
IM69379521;13/05/2019 15:33;
IM69379521;13/05/2019 15:33;
IM69427365;15/05/2019 13:16;
IM69427365;15/05/2019 13:16;
IM69430084;15/05/2019 17:56;
IM69430084;15/05/2019 17:56;
IM69430084;15/05/2019 17:56;
IM69430084;15/05/2019 17:56;
IM69430084;15/05/2019 17:56;
IM69430084;15/05/2019 17:56;
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448252;16/05/2019 10:32;11/10/2019 19:06
IM69448796;16/05/2019 11:05;
IM69448796;16/05/2019 11:05;
IM69448796;16/05/2019 11:05;
IM69448796;16/05/2019 11:05;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69453053;16/05/2019 17:28;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
IM69474030;17/05/2019 14:44;
