vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
SHINERAY,X7,FAMILIAR RURAL,4x2,SHINERAY DLEG18,1794,,MANUAL,NAFTA,EURO V,,11/6/2018,17-00190-CP-511A-00,TÜV SÜD Auto Service,207,11.7,6.9,8.7,8.7
MERCEDES-BENZ,GLE 450 4MATIC,FAMILIAR,4x4,MERCEDES-BENZ 256.930 / MELCO EM0014,2999,270,AUTOMATICA,ELECTRICIDAD,EURO VI,683,26/06/2020,42.04.1462.01,TÜV NORD,206,11.7,7.5,9,9
AUDI,RS4 - RS4 AVANT / RS5 - RS5 SPORTBACK,RURAL 4 PUERTAS CON PORTÓN TRASERO / SEDÁN 2 PUERTAS CON PORTÓN TRASERO,4x4,AUDI DECA,2894,,MANUAL,NAFTA,304,,26/04/2019,AUA5390C,ATE-EL LUXEMBOURG,202,11.7,7.3,8.9,8.9
MERCEDES-BENZ,S500 4MATIC,SEDÁN 4 PUERTAS,4x4,MERCEDES-BENZ 256.930 / MELCO EM0014,2999,320,AUTOMATICA,ELECTRICIDAD,EURO VI b,822,12/2/2021,42.04.1493.00,TÜV NORD,196,11.7,6.8,8.6,8.6
ALFA ROMEO,STELVIO QUADRIFOGLIO VERDI,BERLINA 4 PUERTAS Y PORTÓN TRASERO,4x4,ALFA ROMEO 670051007,2891,,MANUAL,NAFTA,EURO VI,,5/4/2018,H0721/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,210.21,11.76,7.56,9.09,9.09
TOYOTA,CAMRY,SEDÁN 4 PUERTAS,4x2,TOYOTA 2AR-FE,2494,,MANUAL,NAFTA,EURO V,,1/9/2017,H1760161643/410 TR,VINÇOTTE nv,200,11.77,6.8,8.6,8.6
KIA,SPORTAGE,RURAL,4x2,HYUNDAI o KIA G4NA-5 o G4NA,1999,114,MANUAL,NAFTA,EURO V,,28/04/2016,83-V039-133042998-105,TÜV Rheinland,120,11.8,6.5,8.4,8.4
MERCEDES-BENZ,MERCEDES-AMG GLE 53 4MATIC+ (167.161),FAMILIAR 4 PUERTAS,4x4,MERCEDES BENZ 256.930 / MELCO EM0014,2999,320,AUTOMATICA,ELECTRICIDAD,EURO VI,691,23/07/2020,42.04.1462.01,TÜV NORD,214,11.8,8,9.4,9.4
FORD,MAVERIK,PICK UP CABINA DOBLE,4x2, 4x4,3000,1999,AUTOMATICA,NAFTA,EURO V,,913,,7250123,164,11.8,4.5,7.2,
FORD,ECOSPORT,SUV,4x2,FORD 2.0L GDI,1999,125,MANUAL,NAFTA,EURO V,,25/04/2018,TR83-USS379499,VCA,204.29,11.83,7.05,8.80,8.80
FORD,KUGA,SUV 5 PUERTAS,4x4,FORD 2.0L GTDI,1999,,AUTOMATICA,NAFTA,EURO V,,14/12/2018,ESQ310992,VCA,210.11,12.01,7.25,9.0,9.0
CHEVROLET,TRACKER 1.8 TRANSMISIÓN AUTOMATICA,SEDÁN 4 PUERTAS Y PORTÓN TRASERO,4x4,CHEVROLET 2H0 o A18XER o F18D4 (1.8 DOHC),1796,103,AUTOMATICA,NAFTA,EURO V,526,12/11/2019,KR18060020,IDIADA,204.9,12.06,6.91,8.80,8.80
CHEVROLET,TRACKER 1.8,5 PUERTAS HB,4x4,CHEVROLET 2H0,5000,1796,AUTOMATICA,NAFTA,EURO V,,,9/2/2018,KR18060020,300,12.06,6.91,8.80,
CHEVROLET,S10 2.8,PICK UP,4x2, 4x4,2000,2776,AUTOMATICA,GAS OIL,EURO V,,859,,US21060002,256,12.1,8.3,9.7,
BORGWARD,BX7,SEDÁN,4x2,BORGWARD BWE420B,1981,,MANUAL,NAFTA,EURO V,,25/07/2018,CN16060398,IDIADA,221,12.1,7.61,9.3,9.3
MERCEDES-BENZ,Mercedes-AMG A 45 4MATIC - Mercedes-AMG A 45 S 4MATIC,FAMILIAR,4x4,MERCEDES-BENZ 139.980,1991,285 - 310,AUTOMATICA,NAFTA,EURO VI,601,18/02/2020,42.04.1468.00,TÜV NORD,205,12.1,7.4,9,9
MERCEDES-BENZ,C 400 4MATIC,CABRIOLET 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,MANUAL,NAFTA,EURO VI b,,3/4/2019,42.04.1419.02,TÜV NORD Mobilität,198,12.1,6.8,8.8,8.8
HONDA,ACCORD,SEDÁN 4 PUERTAS,4x2,HONDA K20C4,1996,,MANUAL,NAFTA,EURO V,,13/04/2018,H1760552835/098,VINÇOTTE nv,192,12.1,6.1,8.3,8.3
VOLVO,XC40 T4,SUV 4/5 PUERTAS,4x2,VOLVO B4204T47,1969,,MANUAL,NAFTA,EURO VI d,,19/06/2018,TR*715/2007*2017/1347*0169*00,AVL MTC AB,189,12.1,6.9,8.4,8.4
BORGWARD,BX5,SEDÁN,4x4,BORGWARD BWE418A,1797,,MANUAL,NAFTA,EURO V,,25/07/2018,CN17030295,IDIADA,211.6,12.15,7.05,8.92,8.92
HYUNDAI,H350,CAMIÓN,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/06/2015,KR14080042,IDIADA,250,12.2,8.6,9.9,9.9
HYUNDAI,H350,CAMIÓN,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/06/2015,KR14080044,IDIADA,250,12.2,8.6,9.9,9.9
DOMY,X7,SEDÁN,4x2,DOMY TN4G18T,1799,,MANUAL,NAFTA,EURO V,,17/08/2018,CN17080445,IDIADA,219,12.2,7.8,9.4,9.4
DOMY,X7,SEDÁN,4x2,MITSUBISHI 4G63S4T,1997,,MANUAL,NAFTA,EURO V,,17/08/2018,CN17080446,IDIADA,216,12.3,7.6,9.3,9.3
CHEVROLET,S10 2.8,PICK UP,4x2,4x2 - 4x4,5000,2776,AUTOMATICA,GAS OIL,EURO V,,,18/01/2018,CPLE 031/2018,250.93,12.35,7.92,9.53,
HYUNDAI,H-100,CHASIS LARGO / CHASIS EXTRA LARGO,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/01/2018,KR12050004,IDIADA,250,12.4,8.2,9.7,9.7
VOLVO,XC40 T5,SUV 4/5 PUERTAS,4x4,VOLVO B4204T14,1969,,MANUAL,NAFTA,EURO VI d,,27/04/2018,TR*715/2007*2017/1347*0154*00,AVL MTC AB,205,12.4,7.7,9.1,9.1
MERCEDES-BENZ,E 450 4MATIC,SEDÁN 4 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,MANUAL,NAFTA,EURO VI b,,8/4/2019,42.04.1419.02,TÜV NORD Mobilität,204,12.4,7.1,9.0,9.0
ALFA ROMEO,GIULIA QUADRIFOGLIO,BERLINA,4x2,ALFA ROMEO 670050436,2891,,MANUAL,NAFTA,EURO VI b,,19/07/2017,G0415/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,187.98,12.42,5.72,8.15,8.15
MERCEDES-BENZ,E 450 4MATIC,COUPÉ 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMATICA,NAFTA,EURO VI,,8/3/2019,42.04.1419.02,TÜV NORD Mobilität,208,12.5,7.3,9.1,9.1
FORD,S-MAX,SEDÁN 5 PUERTAS,4x2,FORD 2.0L GTDI,1999,,MANUAL,NAFTA,EURO VI,,11/8/2015,T02 USQ305855-3,VCA,330,12.5,6.9,8.9,
CHEVROLET,TRAILBLAZER 2.8 TRANSMISIÓN AUTOMATICA,SUV,4x4,CHEVROLET LWN (XLDE) - DURAMAX / CTDI 2.8L,2776,,MANUAL,GAS OIL,EURO V,,6/12/2018,CPLE 032/2018,GENERAL MOTORS DO BRASIL LTDA.,257.19,12.60,8.16,9.78,9.78
MERCEDES-BENZ,GLS 580 4MATIC,FAMILIAR 4 PUERTAS,4x4,MERCEDES-BENZ 176.980/ MELCO EM0014,3982,360,AUTOMATICA,ELECTRICIDAD,EURO VI,635,17/03/2020,42.04.1465.00,TÜV NORD,233,12.7,8.8,10.2,10.2
LAND ROVER,RANGE ROVER EVOQUE,SUV 4/5 PUERTAS,4x4,JAGUAR LAND ROVER PT204 / VALEO K8D2-11A240-A*,1997,221,AUTOMATICA,ELECTRICIDAD,390,,10/6/2019,PC18090054,IDIADA,191.99,12.71,7.91,9.31,9.31
KIA,K2500,CABINA STANDARD / CABINA KING O SUPER / DOBLE CABINA,4x2,HYUNDAI O KIA,2497,96,MANUAL,GAS OIL,EURO V,,3/9/2013,3-V002-133029008-01 ,TÜV Rheinland,264.3,12.8,8.4,10.0,10.0
NISSAN,MURANO,RURAL,4x4,NISSAN VQ35,3498,188,MANUAL,NAFTA,EURO V,,6/5/2019,LCA 0061 A64 18,LUXCONTROL S.A.,225.7,12.8,7.9,9.7,9.7
JEEP,CHEROKEE LIMITED. CHEROKEE SPORT. CHEROKEE LONGITUDE,BERLINA,4x2,FCA X,3239,,AUTOMATICA,NAFTA,EURO VI a,,18/12/2018,RDW-715/2007-0045713,RDW,215,12.8,7.1,9.2,9.2
HYUNDAI,VELOSTER,SEDÁN 3 PUERTAS CON PORTÓN,4x2,HYUNDAI G4KH,1998,,AUTOMATICA,NAFTA,EURO V,,21/09/2018,83-V039-55199-23,TÜV Rheinland,215.75,12.91,7.04,9.21,9.21
