No.;Ticket ID;Current Status;Title;Open Time @Timezone;Resolved Time @Timezone;Close Time @Timezone;Master/ Child;CI Name;CI ID;CI Type;CI Subtype;CI Location;CI Environment;Layer 1;Layer 2;Layer 3;Ticket Type;Update Time @Timezone;Service Class;Prio;Impact;Urgency;Cause Code;Reference ID;Location;Department;Call Code;Reported Date @Timezone;VW Completion Group;Active Flag;Open Group;Closed Group;Resolved Group;Current Assignment;VW Solution ID;Marked as Knowledge Candidate;VW Outage Time From;VW Outage Time To;External;History Assignment;History Previous Assignment;History Post Assignment;History Status;History Start Time;History End Time;History Transfer ID
751;IM69060293;Working;FACTURACIÓN ELEC (P-59) Liberación de certificados nacionales  unidades licitación;24/04/2019 15:44:41;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;24/04/2019 16:21:37;2;8;4;2;;;CIP;0001;E-mail;22/04/2019 16:45:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS TiiPSA Support Argentina;;f;;;;AMS TiiPSA Support Argentina;AMS TiiPSA Support Argentina;;Working;24/04/2019 16:19:17;;4
752;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;OPS SD Service Desk Argentina;AMS SAP FI-CO Support Argentina;Transferred;30/04/2019 14:43:18;30/04/2019 14:44:33;1
753;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;30/04/2019 14:44:33;30/04/2019 14:44:58;2
754;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;30/04/2019 14:44:58;30/04/2019 16:42:09;1
755;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;30/04/2019 16:42:09;30/04/2019 16:45:08;3
756;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;30/04/2019 16:45:08;08/05/2019 18:31:38;2
757;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;08/05/2019 18:31:38;08/05/2019 18:32:45;4
758;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;08/05/2019 18:32:45;31/05/2019 08:56:32;3
759;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Working;31/05/2019 08:56:32;31/05/2019 08:58:11;5
760;IM69162385;Wait on External;SAP FI (P-59) - Archivo sueldo de Autoahorro no sube automaticamente al Banco;30/04/2019 14:39:08;;;;SAP FI (P-59);CI2385775;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Information;;;Service Request;15/08/2019 12:23:15;2;8;4;2;;;CIP;I/ssp;E-mail;29/04/2019 13:00:00;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS SAP FI-CO Support Argentina;;f;;;;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;AMS SAP FI-CO Support Argentina;Wait on External;31/05/2019 08:58:11;05/06/2019 14:43:30;4
